experiment,parameter_count,step,train_bpc,validation_bpc
model14m_bpe3000_step1000,14880745,100,6.23006150616954,6.229158399430267
model14m_bpe3000_step1000,14880745,200,6.066693738698888,6.045850752070319
model14m_bpe3000_step1000,14880745,300,5.852935136165566,5.860026093942199
model14m_bpe3000_step1000,14880745,400,5.695661714271311,5.692058014571144
model14m_bpe3000_step1000,14880745,500,5.5761147488761145,5.59058030998359
model14m_bpe3000_step1000,14880745,600,5.478715711239996,5.48158973537439
model14m_bpe3000_step1000,14880745,700,5.37702442768488,5.395278822409654
model14m_bpe3000_step1000,14880745,800,5.400323963560868,5.35697357682652
model14m_bpe3000_step1000,14880745,900,5.318188684462906,5.332811651478617
model14m_bpe3000_step1000,14880745,1000,5.288419624703788,5.323859236576766
model8m_bpe3000_step1000,8362025,100,6.268202799203127,6.263367335343352
model8m_bpe3000_step1000,8362025,200,6.088891800254179,6.070128582527745
model8m_bpe3000_step1000,8362025,300,5.894359488441989,5.897442582806832
model8m_bpe3000_step1000,8362025,400,5.739279344659589,5.73391342873028
model8m_bpe3000_step1000,8362025,500,5.623216859234839,5.640154322464737
model8m_bpe3000_step1000,8362025,600,5.536391232429052,5.5384046839506045
model8m_bpe3000_step1000,8362025,700,5.43831569043366,5.454383518016769
model8m_bpe3000_step1000,8362025,800,5.456528427142704,5.412762790832848
model8m_bpe3000_step1000,8362025,900,5.379462679127723,5.386331949789791
model8m_bpe3000_step1000,8362025,1000,5.352884441281836,5.382011263197228
model4m_bpe3000_step1000,4205161,100,6.355884282967521,6.349203110786735
model4m_bpe3000_step1000,4205161,200,6.155478749633121,6.133666570620083
model4m_bpe3000_step1000,4205161,300,5.961595409850533,5.961312474127404
model4m_bpe3000_step1000,4205161,400,5.824718714641106,5.813641850829016
model4m_bpe3000_step1000,4205161,500,5.71675725495536,5.729214157002573
model4m_bpe3000_step1000,4205161,600,5.640924504487992,5.642317009412022
model4m_bpe3000_step1000,4205161,700,5.546749707941584,5.566139882451145
model4m_bpe3000_step1000,4205161,800,5.571019597430797,5.520967769602074
model4m_bpe3000_step1000,4205161,900,5.4959403331655405,5.4968501623928985
model4m_bpe3000_step1000,4205161,1000,5.4766888950424155,5.498155203834367
