step,prompt,fluency_1_to_5,coherence_1_to_5,prompt_relevance_1_to_5,notes
250,夜色笼罩着山谷，,,,,
250,广场之上，无数道目光,,,,
250,望着眼前的黑袍少年，,,,,
250,药老沉吟片刻，道：,,,,
250,萧炎微微一笑，,,,,
500,夜色笼罩着山谷，,,,,
500,广场之上，无数道目光,,,,
500,望着眼前的黑袍少年，,,,,
500,药老沉吟片刻，道：,,,,
500,萧炎微微一笑，,,,,
750,夜色笼罩着山谷，,,,,
750,广场之上，无数道目光,,,,
750,望着眼前的黑袍少年，,,,,
750,药老沉吟片刻，道：,,,,
750,萧炎微微一笑，,,,,
1000,夜色笼罩着山谷，,,,,
1000,广场之上，无数道目光,,,,
1000,望着眼前的黑袍少年，,,,,
1000,药老沉吟片刻，道：,,,,
1000,萧炎微微一笑，,,,,
1250,夜色笼罩着山谷，,,,,
1250,广场之上，无数道目光,,,,
1250,望着眼前的黑袍少年，,,,,
1250,药老沉吟片刻，道：,,,,
1250,萧炎微微一笑，,,,,
1500,夜色笼罩着山谷，,,,,
1500,广场之上，无数道目光,,,,
1500,望着眼前的黑袍少年，,,,,
1500,药老沉吟片刻，道：,,,,
1500,萧炎微微一笑，,,,,
1750,夜色笼罩着山谷，,,,,
1750,广场之上，无数道目光,,,,
1750,望着眼前的黑袍少年，,,,,
1750,药老沉吟片刻，道：,,,,
1750,萧炎微微一笑，,,,,
2000,夜色笼罩着山谷，,,,,
2000,广场之上，无数道目光,,,,
2000,望着眼前的黑袍少年，,,,,
2000,药老沉吟片刻，道：,,,,
2000,萧炎微微一笑，,,,,
2250,夜色笼罩着山谷，,,,,
2250,广场之上，无数道目光,,,,
2250,望着眼前的黑袍少年，,,,,
2250,药老沉吟片刻，道：,,,,
2250,萧炎微微一笑，,,,,
2500,夜色笼罩着山谷，,,,,
2500,广场之上，无数道目光,,,,
2500,望着眼前的黑袍少年，,,,,
2500,药老沉吟片刻，道：,,,,
2500,萧炎微微一笑，,,,,
2750,夜色笼罩着山谷，,,,,
2750,广场之上，无数道目光,,,,
2750,望着眼前的黑袍少年，,,,,
2750,药老沉吟片刻，道：,,,,
2750,萧炎微微一笑，,,,,
3000,夜色笼罩着山谷，,,,,
3000,广场之上，无数道目光,,,,
3000,望着眼前的黑袍少年，,,,,
3000,药老沉吟片刻，道：,,,,
3000,萧炎微微一笑，,,,,
3250,夜色笼罩着山谷，,,,,
3250,广场之上，无数道目光,,,,
3250,望着眼前的黑袍少年，,,,,
3250,药老沉吟片刻，道：,,,,
3250,萧炎微微一笑，,,,,
3500,夜色笼罩着山谷，,,,,
3500,广场之上，无数道目光,,,,
3500,望着眼前的黑袍少年，,,,,
3500,药老沉吟片刻，道：,,,,
3500,萧炎微微一笑，,,,,
3750,夜色笼罩着山谷，,,,,
3750,广场之上，无数道目光,,,,
3750,望着眼前的黑袍少年，,,,,
3750,药老沉吟片刻，道：,,,,
3750,萧炎微微一笑，,,,,
4000,夜色笼罩着山谷，,,,,
4000,广场之上，无数道目光,,,,
4000,望着眼前的黑袍少年，,,,,
4000,药老沉吟片刻，道：,,,,
4000,萧炎微微一笑，,,,,
4250,夜色笼罩着山谷，,,,,
4250,广场之上，无数道目光,,,,
4250,望着眼前的黑袍少年，,,,,
4250,药老沉吟片刻，道：,,,,
4250,萧炎微微一笑，,,,,
4500,夜色笼罩着山谷，,,,,
4500,广场之上，无数道目光,,,,
4500,望着眼前的黑袍少年，,,,,
4500,药老沉吟片刻，道：,,,,
4500,萧炎微微一笑，,,,,
4750,夜色笼罩着山谷，,,,,
4750,广场之上，无数道目光,,,,
4750,望着眼前的黑袍少年，,,,,
4750,药老沉吟片刻，道：,,,,
4750,萧炎微微一笑，,,,,
5000,夜色笼罩着山谷，,,,,
5000,广场之上，无数道目光,,,,
5000,望着眼前的黑袍少年，,,,,
5000,药老沉吟片刻，道：,,,,
5000,萧炎微微一笑，,,,,
5250,夜色笼罩着山谷，,,,,
5250,广场之上，无数道目光,,,,
5250,望着眼前的黑袍少年，,,,,
5250,药老沉吟片刻，道：,,,,
5250,萧炎微微一笑，,,,,
5500,夜色笼罩着山谷，,,,,
5500,广场之上，无数道目光,,,,
5500,望着眼前的黑袍少年，,,,,
5500,药老沉吟片刻，道：,,,,
5500,萧炎微微一笑，,,,,
5750,夜色笼罩着山谷，,,,,
5750,广场之上，无数道目光,,,,
5750,望着眼前的黑袍少年，,,,,
5750,药老沉吟片刻，道：,,,,
5750,萧炎微微一笑，,,,,
6000,夜色笼罩着山谷，,,,,
6000,广场之上，无数道目光,,,,
6000,望着眼前的黑袍少年，,,,,
6000,药老沉吟片刻，道：,,,,
6000,萧炎微微一笑，,,,,
