step,train_loss,val_loss,train_bits_per_character,val_bits_per_character,learning_rate,elapsed_seconds
250,7.015101106961568,7.010011021296183,5.921758651267776,5.914875678244785,0.0002995696209491512,169.5513714999979
500,6.569366439183553,6.601127608617147,5.545494206202966,5.56986986505196,0.000296949457625412,363.59634008399735
750,6.195031579335531,6.245953265825907,5.2295015125871425,5.270182450106351,0.00029199453600058946,564.4406048340024
1000,5.897162477175395,5.933907310167949,4.978056963782037,5.006885712339649,0.00028479253013263714,784.135677667
1250,5.635822010040283,5.682938067118327,4.757447859424592,4.795124009370567,0.0002754708747476028,987.7608660419937
1500,5.428290843963623,5.507048694292704,4.582261577803849,4.646712862765032,0.00026419451036651406,1207.2298616250046
1750,5.248906842867533,5.374659061431885,4.430835569227061,4.535005731766053,0.0002511629647920507,1451.5881957090023
2000,5.099951648712159,5.2138510545094805,4.305095869087099,4.3993198724824145,0.0002366068225961652,1681.5726138750033
2250,4.9441163539886475,5.1099960009257,4.173548370251189,4.311689520883919,0.00022078364507873102,1923.9118104590016
2500,4.84282873471578,4.963111853599548,4.088046988795661,4.187752273438831,0.0002039734128908488,2141.7074769589963
2750,4.729231357574463,4.874210214614868,3.9921543935798405,4.112739246984367,0.00018647357196257468,2368.2879558340064
3000,4.604552801450094,4.866858720779419,3.886907682648707,4.10653623646784,0.00016859377039409956,2605.2281978340034
3250,4.59634800752004,4.726996843020121,3.8799816514060566,3.9885242081616203,0.00015065037943760566,2822.9089910839975
3500,4.457066019376119,4.712835645675659,3.7624075344145655,3.976575336541716,0.00013296089551739947,3179.206497334002
3750,4.46839872598648,4.626879096031189,3.7719739757799777,3.90404730436982,0.00011583832234086899,3447.088619375005
4000,4.398392283916474,4.606039412816366,3.7128784263856662,3.886463289877516,9.958563250509222e-05,3686.8590137919964
4250,4.337986266613006,4.586310887336731,3.6618870222560154,3.8698168430784143,8.449040659730228e-05,3941.644735541995
4500,4.274666074911753,4.511700296401978,3.608435633988108,3.806862253090075,7.081974464677707e-05,4219.082093584002
4750,4.300960735479991,4.519298926989237,3.6306321257175838,3.8132737915472905,5.881553996664326e-05,4452.350782209003
5000,4.220291634400685,4.507143727938334,3.5625357519201604,3.803017532175944,4.869019901183616e-05,4680.317445167006
5250,4.207878295580546,4.485179281234741,3.552057100874586,3.784484469788666,4.062288298749425e-05,4874.398585500006
5500,4.2107283989588415,4.478983600934346,3.5544629998174644,3.7792567064359903,3.475633771004035e-05,5089.461794542003
5750,4.201159878571828,4.457618665695191,3.5463857864576465,3.761229497144957,3.1194367814459045e-05,5318.969571709007
6000,4.183671446641286,4.4480469703674315,3.5316230237400816,3.7531531349649643,3e-05,5508.455233083994
