step,sample_count,mean_characters,mean_han_ratio,mean_four_gram_repetition,maximum_character_run,maximum_train_overlap,automatic_gates
250,5,100,0.7576402665359897,0.03876501356063542,12,12,"{'status': 'REVIEW', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': False, 'train_overlap': True}}"
500,5,100,0.7166775878586261,0.06508780730912982,4,8,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
750,5,100,0.6853751951902606,0.07782349814637432,4,11,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
1000,5,100,0.7938331854480923,0.030041395623891166,4,9,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
1250,5,100,0.7521727901301163,0.052567652814908404,5,12,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
1500,5,100,0.7346669286636933,0.051183326254918796,4,11,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
1750,5,100,0.7043759242827565,0.08118383722238191,8,15,"{'status': 'REVIEW', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': False, 'character_run': False, 'train_overlap': True}}"
2000,5,100,0.7846938775510204,0.09097906055461236,4,12,"{'status': 'REVIEW', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': False, 'character_run': True, 'train_overlap': True}}"
2250,5,100,0.7757334635982053,0.05709697486919056,4,13,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
2500,5,100,0.7931140541322912,0.015337350821221785,4,12,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
2750,5,100,0.7670272616022124,0.0808138656564406,4,11,"{'status': 'REVIEW', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': False, 'character_run': True, 'train_overlap': True}}"
3000,5,100,0.8064625850340136,0.03010752688172045,4,11,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
3250,5,100,0.8055208785641916,0.019496632399858195,4,13,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
3500,5,100,0.7757861123172674,0.06655671436656155,4,14,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
3750,5,100,0.7576765812708062,0.032588916459884175,4,11,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
4000,5,100,0.7560283687943262,0.045633935956516616,4,13,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
4250,5,93.8,0.7425760695493022,0.029290811248164995,4,14,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
4500,5,100,0.7787016934433347,0.034599650490991764,4,12,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
4750,5,100,0.7910632870169345,0.04343613375871438,5,15,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
5000,5,100,0.7908024620822574,0.023751919446907264,4,17,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
5250,5,100,0.7970636126791142,0.04092141022531515,4,12,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
5500,5,100,0.7500361846866406,0.06265315895197048,10,11,"{'status': 'REVIEW', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': False, 'train_overlap': True}}"
5750,5,100,0.8009603583701521,0.025420896097484613,4,13,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
6000,5,100,0.7935699811839629,0.02815002767464565,4,14,"{'status': 'PASS', 'checks': {'all_prompts_present': True, 'generation_length': True, 'han_ratio': True, 'four_gram_repetition': True, 'character_run': True, 'train_overlap': True}}"
