step,train_teacher_loss,development_teacher_loss,sft_loss,replay_loss,joint_loss,learning_rate,replay_train_tokens
0,5.8871568520863855,5.818234443664551,0.0,0.0,0.0,0.0,0
25,3.9953835037019516,3.962578296661377,4.358798503875732,4.860546112060547,6.789071559906006,9.996155912742854e-06,12800
50,2.5477281305525037,2.530921220779419,3.05942702293396,4.331467628479004,5.225160598754883,9.862301196726988e-06,25600
75,1.6736541125509474,1.6799200773239136,1.7137553691864014,4.543946266174316,3.9857285022735596,9.542759418513906e-06,38400
100,1.0575737840599484,1.0770572423934937,1.4232194423675537,4.792730808258057,3.819584846496582,9.051132292283772e-06,51200
125,0.653229116068946,0.6724773645401001,0.7808233499526978,4.839561462402344,3.20060396194458,8.408346570374234e-06,64000
150,0.4214006221956677,0.4420093894004822,0.6523011922836304,4.547224998474121,2.9259138107299805,7.641763268666832e-06,76800
175,0.2914802938699722,0.30879470705986023,0.5265603065490723,4.245445251464844,2.649282932281494,6.784013009120974e-06,89600
200,0.21963669972287284,0.23926417529582977,0.35800692439079285,4.649883270263672,2.682948589324951,5.871607054625496e-06,102400
225,0.17860997087425656,0.19860848784446716,0.30200833082199097,4.2838873863220215,2.4439520835876465,4.943383159287935e-06,115200
250,0.15658150696092182,0.17711591720581055,0.24698948860168457,4.873437881469727,2.683708429336548,4.038852388578925e-06,128000
275,0.1384377204709583,0.15798477828502655,0.260728120803833,4.580029010772705,2.5507426261901855,3.1965172790967967e-06,140800
300,0.12907241533199945,0.1485656052827835,0.20582254230976105,4.583079814910889,2.4973623752593994,2.4522329276841656e-06,153600
325,0.12148734877506892,0.14076851308345795,0.2457597702741623,4.641206741333008,2.5663630962371826,1.8376807722841227e-06,166400
350,0.11669164713886049,0.136355921626091,0.19769199192523956,4.5866241455078125,2.49100399017334,1.3790200300522413e-06,179200
375,0.11236546726690398,0.13235971331596375,0.16167081892490387,4.234197616577148,2.2787697315216064,1.0957741960269049e-06,192000
400,0.10942484297686153,0.12935826182365417,0.18775710463523865,4.483498573303223,2.429506301879883,1e-06,204800
