step,train_teacher_loss,holdout_teacher_loss,learning_rate,coverage
0,5.8871568520863855,5.818234443664551,0.0,0.0
25,0.5600005487600962,0.5699597597122192,9.996155912742855e-05,1.0
50,0.05847606704466873,0.07331359386444092,9.862301196726987e-05,1.0
75,0.018380863995601734,0.04287521913647652,9.542759418513906e-05,1.0
100,0.006684127972564764,0.02609291672706604,9.051132292283772e-05,1.0
125,0.0032584405530037153,0.03532428294420242,8.408346570374233e-05,1.0
150,0.001234601827390078,0.021332798525691032,7.641763268666833e-05,1.0
175,0.0006961770717882448,0.020728040486574173,6.784013009120975e-05,1.0
200,0.0004167824382117639,0.014482235535979271,5.8716070546254966e-05,1.0
225,0.0002594361055849327,0.012787163257598877,4.9433831592879355e-05,1.0
250,0.0001745951020792644,0.022535253316164017,4.038852388578925e-05,1.0
275,0.00013052631499400983,0.009379296563565731,3.1965172790967965e-05,1.0
300,0.00010225259967329394,0.03372511640191078,2.4522329276841657e-05,1.0
325,9.571533050297552e-05,0.0046294876374304295,1.837680772284123e-05,1.0
350,7.378463746540041e-05,0.0049431901425123215,1.3790200300522413e-05,1.0
375,6.523959616768277e-05,0.003503990825265646,1.0957741960269049e-05,1.0
400,6.511519823106937e-05,0.005630230065435171,1e-05,1.0
