step,prompt,fluency_1_to_5,coherence_1_to_5,prompt_relevance_1_to_5,notes
2600,夜色笼罩着山谷，,,,,
2600,广场之上，无数道目光,,,,
2600,望着眼前的黑袍少年，,,,,
2600,药老沉吟片刻，道：,,,,
2600,萧炎微微一笑，,,,,
3000,夜色笼罩着山谷，,,,,
3000,广场之上，无数道目光,,,,
3000,望着眼前的黑袍少年，,,,,
3000,药老沉吟片刻，道：,,,,
3000,萧炎微微一笑，,,,,
3500,夜色笼罩着山谷，,,,,
3500,广场之上，无数道目光,,,,
3500,望着眼前的黑袍少年，,,,,
3500,药老沉吟片刻，道：,,,,
3500,萧炎微微一笑，,,,,
4000,夜色笼罩着山谷，,,,,
4000,广场之上，无数道目光,,,,
4000,望着眼前的黑袍少年，,,,,
4000,药老沉吟片刻，道：,,,,
4000,萧炎微微一笑，,,,,
4500,夜色笼罩着山谷，,,,,
4500,广场之上，无数道目光,,,,
4500,望着眼前的黑袍少年，,,,,
4500,药老沉吟片刻，道：,,,,
4500,萧炎微微一笑，,,,,
5000,夜色笼罩着山谷，,,,,
5000,广场之上，无数道目光,,,,
5000,望着眼前的黑袍少年，,,,,
5000,药老沉吟片刻，道：,,,,
5000,萧炎微微一笑，,,,,
5500,夜色笼罩着山谷，,,,,
5500,广场之上，无数道目光,,,,
5500,望着眼前的黑袍少年，,,,,
5500,药老沉吟片刻，道：,,,,
5500,萧炎微微一笑，,,,,
6000,夜色笼罩着山谷，,,,,
6000,广场之上，无数道目光,,,,
6000,望着眼前的黑袍少年，,,,,
6000,药老沉吟片刻，道：,,,,
6000,萧炎微微一笑，,,,,
